station,valid,tmpf,dwpf,skyc1,skyc2,skyc3
EGLL,2023-07-15 00:50,60.80,57.20,SCT,BKN,M
EGLL,2023-07-15 01:50,60.80,57.20,BKN,M,M
EGLL,2023-07-15 02:50,60.80,57.20,FEW,SCT,BKN
EGLL,2023-07-15 03:50,60.80,57.20,BKN,OVC,M
EGLL,2023-07-15 04:50,60.80,57.20,SCT,SCT,M
EGLL,2023-07-15 05:50,62.60,57.20,BKN,M,M
EGLL,2023-07-15 06:50,64.40,57.20,BKN,M,M
EGLL,2023-07-15 07:50,64.40,55.40,SCT,BKN,BKN
EGLL,2023-07-15 08:50,66.20,55.40,BKN,BKN,///
EGLL,2023-07-15 09:50,66.20,53.60,SCT,M,M
EGLL,2023-07-15 10:50,68.00,51.80,BKN,BKN,M
EGLL,2023-07-15 11:50,69.80,51.80,SCT,BKN,///
EGLL,2023-07-15 12:50,69.80,51.80,BKN,M,M
EGLL,2023-07-15 13:50,69.80,50.00,BKN,M,M
EGLL,2023-07-15 14:50,69.80,50.00,BKN,BKN,M
EGLL,2023-07-15 15:50,66.20,50.00,BKN,M,M
EGLL,2023-07-15 16:50,62.60,55.40,SCT,SCT,BKN
EGLL,2023-07-15 17:50,64.40,51.80,SCT,BKN,M
EGLL,2023-07-15 18:50,62.60,53.60,SCT,BKN,M
EGLL,2023-07-15 19:50,62.60,53.60,BKN,BKN,OVC
EGLL,2023-07-15 20:50,62.60,55.40,BKN,BKN,M
EGLL,2023-07-15 21:50,62.60,53.60,BKN,M,M
EGLL,2023-07-15 22:50,62.60,53.60,BKN,///,M
EGLL,2023-07-15 23:50,60.80,55.40,BKN,M,M
EGLL,2023-07-16 00:50,60.80,53.60,BKN,M,M
EGLL,2023-07-16 01:50,60.80,53.60,BKN,BKN,M
EGLL,2023-07-16 02:50,59.00,51.80,BKN,M,M
EGLL,2023-07-16 03:50,59.00,51.80,BKN,M,M
EGLL,2023-07-16 04:50,57.20,50.00,FEW,M,M
EGLL,2023-07-16 05:50,59.00,50.00,NCD,M,M
EGLL,2023-07-16 06:50,60.80,50.00,FEW,M,M
EGLL,2023-07-16 07:50,62.60,51.80,FEW,M,M
EGLL,2023-07-16 08:50,66.20,50.00,SCT,M,M
EGLL,2023-07-16 09:50,68.00,48.20,BKN,BKN,M
EGLL,2023-07-16 10:50,68.00,48.20,BKN,M,M
EGLL,2023-07-16 11:50,69.80,48.20,SCT,M,M
EGLL,2023-07-16 12:50,69.80,48.20,FEW,M,M
EGLL,2023-07-16 13:50,68.00,50.00,BKN,///,M
EGLL,2023-07-16 14:50,69.80,48.20,BKN,///,M
EGLL,2023-07-16 15:50,68.00,48.20,SCT,M,M
EGLL,2023-07-16 16:50,66.20,48.20,BKN,M,M
EGLL,2023-07-16 17:50,66.20,50.00,SCT,BKN,///
EGLL,2023-07-16 18:50,64.40,50.00,FEW,SCT,///
EGLL,2023-07-16 19:50,59.00,53.60,FEW,BKN,BKN
EGLL,2023-07-16 20:50,59.00,55.40,SCT,BKN,M
EGLL,2023-07-16 21:50,59.00,53.60,FEW,SCT,M
EGLL,2023-07-16 22:50,57.20,53.60,NCD,M,M
EGLL,2023-07-16 23:50,57.20,53.60,NCD,M,M
EGLL,2023-07-17 00:50,55.40,53.60,NCD,M,M
EGLL,2023-07-17 01:50,55.40,53.60,NCD,M,M
EGLL,2023-07-17 02:50,55.40,53.60,NCD,M,M
EGLL,2023-07-17 03:50,55.40,53.60,NCD,M,M
EGLL,2023-07-17 04:50,55.40,53.60,NCD,M,M
EGLL,2023-07-17 05:50,57.20,53.60,NCD,M,M
EGLL,2023-07-17 06:50,59.00,55.40,FEW,M,M
EGLL,2023-07-17 07:50,60.80,53.60,BKN,M,M
EGLL,2023-07-17 08:50,62.60,53.60,SCT,SCT,M
EGLL,2023-07-17 09:50,66.20,51.80,FEW,///,M
EGLL,2023-07-17 10:50,68.00,51.80,FEW,///,M
EGLL,2023-07-17 11:50,69.80,50.00,FEW,///,M
EGLL,2023-07-17 12:50,71.60,50.00,SCT,M,M
EGLL,2023-07-17 13:50,71.60,50.00,SCT,M,M
EGLL,2023-07-17 14:50,71.60,48.20,NCD,M,M
EGLL,2023-07-17 15:50,73.40,48.20,NCD,M,M
EGLL,2023-07-17 16:50,73.40,46.40,NCD,M,M
EGLL,2023-07-17 17:50,69.80,46.40,NCD,M,M
EGLL,2023-07-17 18:50,69.80,48.20,NCD,M,M
EGLL,2023-07-17 19:50,66.20,48.20,NCD,M,M
EGLL,2023-07-17 20:50,66.20,48.20,NCD,M,M
EGLL,2023-07-17 21:50,62.60,48.20,NCD,M,M
EGLL,2023-07-17 22:50,60.80,50.00,NCD,M,M
EGLL,2023-07-17 23:50,59.00,50.00,NCD,M,M
EGLL,2023-07-18 00:50,57.20,50.00,NCD,M,M
EGLL,2023-07-18 01:50,57.20,50.00,NCD,M,M
EGLL,2023-07-18 02:50,57.20,51.80,NCD,M,M
EGLL,2023-07-18 03:50,55.40,50.00,NCD,M,M
EGLL,2023-07-18 04:50,55.40,50.00,NCD,M,M
EGLL,2023-07-18 05:50,57.20,51.80,NCD,M,M
EGLL,2023-07-18 06:50,57.20,51.80,NCD,M,M
EGLL,2023-07-18 07:50,59.00,53.60,NCD,M,M
EGLL,2023-07-18 08:50,62.60,51.80,NCD,M,M
EGLL,2023-07-18 09:50,66.20,51.80,NCD,M,M
EGLL,2023-07-18 10:50,69.80,51.80,SCT,SCT,M
EGLL,2023-07-18 11:50,69.80,50.00,SCT,M,M
EGLL,2023-07-18 12:50,71.60,50.00,BKN,M,M
EGLL,2023-07-18 13:50,71.60,50.00,SCT,M,M
EGLL,2023-07-18 14:50,71.60,50.00,BKN,M,M
EGLL,2023-07-18 15:50,71.60,51.80,NCD,M,M
EGLL,2023-07-18 16:50,71.60,51.80,SCT,M,M
EGLL,2023-07-18 17:50,71.60,51.80,NCD,M,M
EGLL,2023-07-18 18:50,69.80,50.00,NCD,M,M
EGLL,2023-07-18 19:50,68.00,50.00,///,M,M
EGLL,2023-07-18 20:50,64.40,53.60,NCD,M,M
EGLL,2023-07-18 21:50,62.60,51.80,BKN,M,M
EGLL,2023-07-18 22:50,60.80,50.00,FEW,M,M
EGLL,2023-07-18 23:50,60.80,51.80,SCT,SCT,OVC
EGLL,2023-07-19 00:50,60.80,51.80,OVC,M,M
EGLL,2023-07-19 01:50,60.80,53.60,FEW,BKN,OVC
EGLL,2023-07-19 02:50,60.80,55.40,BKN,M,M
EGLL,2023-07-19 03:50,60.80,55.40,SCT,OVC,M
EGLL,2023-07-19 04:50,60.80,55.40,SCT,BKN,OVC
EGLL,2023-07-19 05:50,60.80,57.20,OVC,M,M
EGLL,2023-07-19 06:50,62.60,57.20,BKN,BKN,OVC
EGLL,2023-07-19 07:50,64.40,55.40,SCT,BKN,M
EGLL,2023-07-19 08:50,64.40,57.20,FEW,BKN,M
EGLL,2023-07-19 09:50,68.00,55.40,FEW,M,M
EGLL,2023-07-19 10:50,68.00,55.40,FEW,SCT,M
EGLL,2023-07-19 11:50,68.00,51.80,BKN,M,M
EGLL,2023-07-19 12:50,73.40,51.80,SCT,M,M
EGLL,2023-07-19 13:50,73.40,51.80,FEW,M,M
EGLL,2023-07-19 14:50,71.60,50.00,FEW,M,M
EGLL,2023-07-19 15:50,71.60,51.80,NCD,M,M
EGLL,2023-07-19 16:50,71.60,50.00,SCT,M,M
EGLL,2023-07-19 17:50,71.60,50.00,NCD,M,M
EGLL,2023-07-19 18:50,71.60,48.20,NCD,M,M
EGLL,2023-07-19 19:50,69.80,50.00,NCD,M,M
EGLL,2023-07-19 20:50,68.00,50.00,NCD,M,M
EGLL,2023-07-19 21:50,66.20,50.00,NCD,M,M
EGLL,2023-07-19 22:50,64.40,51.80,NCD,M,M
