station,valid,tmpf,dwpf,skyc1,skyc2,skyc3
MIA,2023-07-15 00:53,81.00,75.00,SCT,BKN,M
MIA,2023-07-15 01:53,81.00,76.00,FEW,FEW,SCT
MIA,2023-07-15 02:53,81.00,76.00,FEW,M,M
MIA,2023-07-15 03:53,81.00,76.00,FEW,M,M
MIA,2023-07-15 04:53,82.00,76.00,FEW,M,M
MIA,2023-07-15 05:53,83.00,73.00,SCT,SCT,BKN
MIA,2023-07-15 06:53,80.00,74.00,FEW,FEW,SCT
MIA,2023-07-15 07:53,80.00,75.00,SCT,BKN,M
MIA,2023-07-15 08:53,80.00,76.00,FEW,M,M
MIA,2023-07-15 09:53,81.00,76.00,FEW,M,M
MIA,2023-07-15 10:53,81.00,76.00,FEW,FEW,BKN
MIA,2023-07-15 11:53,85.00,78.00,FEW,BKN,M
MIA,2023-07-15 12:53,88.00,79.00,FEW,BKN,M
MIA,2023-07-15 13:53,88.00,78.00,SCT,BKN,BKN
MIA,2023-07-15 14:53,89.00,77.00,FEW,BKN,BKN
MIA,2023-07-15 15:53,93.00,76.00,SCT,BKN,BKN
MIA,2023-07-15 16:53,82.00,71.00,FEW,BKN,OVC
MIA,2023-07-15 17:53,80.00,72.00,FEW,BKN,BKN
MIA,2023-07-15 18:53,86.00,74.00,FEW,BKN,BKN
MIA,2023-07-15 19:53,92.00,77.00,FEW,FEW,BKN
MIA,2023-07-15 20:53,88.00,72.00,FEW,SCT,BKN
MIA,2023-07-15 21:53,89.00,69.00,FEW,SCT,BKN
MIA,2023-07-15 22:53,88.00,72.00,FEW,SCT,BKN
MIA,2023-07-15 23:53,88.00,72.00,FEW,SCT,BKN
MIA,2023-07-16 00:53,84.00,74.00,FEW,SCT,M
MIA,2023-07-16 01:53,84.00,75.00,SCT,M,M
MIA,2023-07-16 02:53,84.00,75.00,FEW,SCT,M
MIA,2023-07-16 03:53,81.00,75.00,FEW,SCT,M
MIA,2023-07-16 04:53,80.00,75.00,FEW,SCT,M
MIA,2023-07-16 05:53,79.00,76.00,FEW,M,M
MIA,2023-07-16 06:53,78.00,76.00,FEW,M,M
MIA,2023-07-16 07:53,79.00,76.00,FEW,M,M
MIA,2023-07-16 08:53,79.00,77.00,FEW,M,M
MIA,2023-07-16 09:53,79.00,78.00,FEW,FEW,M
MIA,2023-07-16 10:53,79.00,77.00,FEW,BKN,M
MIA,2023-07-16 11:53,80.00,78.00,FEW,BKN,M
MIA,2023-07-16 12:53,81.00,78.00,FEW,BKN,M
MIA,2023-07-16 13:53,88.00,78.00,FEW,BKN,M
MIA,2023-07-16 14:53,91.00,77.00,SCT,BKN,M
MIA,2023-07-16 15:53,93.00,76.00,SCT,BKN,M
MIA,2023-07-16 16:53,95.00,73.00,SCT,BKN,M
MIA,2023-07-16 17:53,95.00,77.00,SCT,BKN,M
MIA,2023-07-16 18:53,90.00,78.00,SCT,BKN,BKN
MIA,2023-07-16 19:53,92.00,78.00,SCT,SCT,OVC
MIA,2023-07-16 20:53,84.00,73.00,SCT,SCT,BKN
MIA,2023-07-16 21:53,81.00,69.00,SCT,SCT,BKN
MIA,2023-07-16 22:53,76.00,71.00,SCT,SCT,OVC
MIA,2023-07-16 23:53,75.00,71.00,FEW,SCT,BKN
MIA,2023-07-17 00:53,76.00,73.00,FEW,SCT,BKN
MIA,2023-07-17 01:53,78.00,73.00,SCT,SCT,BKN
MIA,2023-07-17 02:53,80.00,76.00,FEW,BKN,BKN
MIA,2023-07-17 03:53,80.00,76.00,SCT,BKN,BKN
MIA,2023-07-17 04:53,79.00,78.00,FEW,BKN,BKN
MIA,2023-07-17 05:53,81.00,78.00,FEW,BKN,BKN
MIA,2023-07-17 06:53,80.00,78.00,FEW,BKN,BKN
MIA,2023-07-17 07:53,80.00,78.00,FEW,BKN,BKN
MIA,2023-07-17 08:53,80.00,78.00,FEW,SCT,BKN
MIA,2023-07-17 09:53,80.00,79.00,FEW,FEW,SCT
MIA,2023-07-17 10:53,81.00,79.00,FEW,FEW,SCT
MIA,2023-07-17 11:53,84.00,79.00,FEW,BKN,M
MIA,2023-07-17 12:53,87.00,79.00,FEW,BKN,M
MIA,2023-07-17 13:53,86.00,77.00,BKN,BKN,M
MIA,2023-07-17 14:53,91.00,77.00,SCT,BKN,M
MIA,2023-07-17 15:53,90.00,79.00,FEW,SCT,BKN
MIA,2023-07-17 16:53,92.00,77.00,SCT,BKN,BKN
MIA,2023-07-17 17:53,85.00,73.00,BKN,BKN,BKN
MIA,2023-07-17 18:53,78.00,71.00,FEW,BKN,OVC
MIA,2023-07-17 19:53,79.00,72.00,FEW,SCT,BKN
MIA,2023-07-17 20:53,78.00,73.00,FEW,BKN,OVC
MIA,2023-07-17 21:53,79.00,70.00,FEW,FEW,BKN
MIA,2023-07-17 22:53,80.00,72.00,FEW,FEW,SCT
MIA,2023-07-17 23:53,81.00,72.00,FEW,SCT,BKN
MIA,2023-07-18 00:53,80.00,73.00,FEW,SCT,OVC
MIA,2023-07-18 01:53,80.00,73.00,FEW,SCT,OVC
MIA,2023-07-18 02:53,80.00,73.00,FEW,SCT,OVC
MIA,2023-07-18 03:53,82.00,74.00,FEW,SCT,OVC
MIA,2023-07-18 04:53,81.00,75.00,FEW,OVC,M
MIA,2023-07-18 05:53,81.00,76.00,FEW,BKN,OVC
MIA,2023-07-18 06:53,82.00,76.00,FEW,SCT,OVC
MIA,2023-07-18 07:53,81.00,76.00,FEW,SCT,OVC
MIA,2023-07-18 08:53,81.00,78.00,FEW,SCT,BKN
