station,valid,tmpf,dwpf,skyc1,skyc2,skyc3
MIA,2024-01-15 00:53,68.00,63.00,SCT,OVC,M
MIA,2024-01-15 01:53,70.00,61.00,FEW,SCT,M
MIA,2024-01-15 02:53,71.00,65.00,BKN,OVC,M
MIA,2024-01-15 03:53,71.00,65.00,FEW,SCT,M
MIA,2024-01-15 04:53,71.00,66.00,FEW,OVC,M
MIA,2024-01-15 05:53,72.00,67.00,FEW,FEW,OVC
MIA,2024-01-15 06:53,72.00,67.00,FEW,FEW,BKN
MIA,2024-01-15 07:53,72.00,68.00,BKN,OVC,M
MIA,2024-01-15 08:53,72.00,69.00,BKN,OVC,M
MIA,2024-01-15 09:53,73.00,69.00,BKN,OVC,M
MIA,2024-01-15 10:53,73.00,69.00,BKN,BKN,OVC
MIA,2024-01-15 11:53,74.00,70.00,BKN,OVC,M
MIA,2024-01-15 12:53,75.00,71.00,FEW,BKN,BKN
MIA,2024-01-15 13:53,76.00,71.00,FEW,SCT,BKN
MIA,2024-01-15 14:53,79.00,72.00,FEW,SCT,BKN
MIA,2024-01-15 15:53,79.00,72.00,SCT,BKN,BKN
MIA,2024-01-15 16:53,80.00,71.00,BKN,BKN,OVC
MIA,2024-01-15 17:53,79.00,72.00,BKN,BKN,OVC
MIA,2024-01-15 18:53,80.00,72.00,SCT,BKN,OVC
MIA,2024-01-15 19:53,80.00,71.00,SCT,OVC,M
MIA,2024-01-15 20:53,80.00,72.00,SCT,SCT,OVC
MIA,2024-01-15 21:53,80.00,72.00,SCT,BKN,M
MIA,2024-01-15 22:53,78.00,71.00,FEW,SCT,M
MIA,2024-01-15 23:53,77.00,72.00,FEW,BKN,M
MIA,2024-01-16 00:53,76.00,72.00,FEW,SCT,M
MIA,2024-01-16 01:53,75.00,72.00,SCT,M,M
MIA,2024-01-16 02:53,76.00,72.00,OVC,M,M
MIA,2024-01-16 03:53,75.00,72.00,BKN,M,M
MIA,2024-01-16 04:53,73.00,71.00,BKN,M,M
MIA,2024-01-16 05:53,74.00,72.00,BKN,BKN,OVC
MIA,2024-01-16 06:53,74.00,72.00,FEW,FEW,BKN
MIA,2024-01-16 07:53,74.00,72.00,CLR,M,M
MIA,2024-01-16 08:53,74.00,72.00,FEW,SCT,M
MIA,2024-01-16 09:53,74.00,72.00,SCT,BKN,M
MIA,2024-01-16 10:53,73.00,72.00,FEW,SCT,M
MIA,2024-01-16 11:53,73.00,72.00,FEW,SCT,M
MIA,2024-01-16 12:53,74.00,72.00,FEW,SCT,M
MIA,2024-01-16 13:53,78.00,73.00,SCT,M,M
MIA,2024-01-16 14:53,80.00,72.00,FEW,SCT,M
MIA,2024-01-16 15:53,83.00,73.00,SCT,SCT,SCT
MIA,2024-01-16 16:53,83.00,73.00,SCT,SCT,SCT
MIA,2024-01-16 17:53,84.00,73.00,SCT,BKN,BKN
MIA,2024-01-16 18:53,83.00,72.00,SCT,BKN,BKN
MIA,2024-01-16 19:53,82.00,72.00,SCT,BKN,BKN
MIA,2024-01-16 20:53,82.00,71.00,FEW,SCT,BKN
MIA,2024-01-16 21:53,80.00,70.00,FEW,BKN,BKN
MIA,2024-01-16 22:53,77.00,73.00,SCT,BKN,OVC
MIA,2024-01-16 23:53,75.00,70.00,FEW,BKN,OVC
MIA,2024-01-17 00:53,74.00,70.00,SCT,BKN,M
MIA,2024-01-17 01:53,74.00,69.00,FEW,SCT,BKN
MIA,2024-01-17 02:53,72.00,69.00,FEW,FEW,OVC
MIA,2024-01-17 03:53,73.00,68.00,BKN,OVC,M
MIA,2024-01-17 04:53,73.00,69.00,FEW,SCT,BKN
MIA,2024-01-17 05:53,72.00,69.00,FEW,FEW,BKN
MIA,2024-01-17 06:53,72.00,69.00,FEW,BKN,BKN
MIA,2024-01-17 07:53,72.00,69.00,FEW,SCT,BKN
MIA,2024-01-17 08:53,72.00,69.00,OVC,M,M
MIA,2024-01-17 09:53,71.00,67.00,BKN,BKN,M
MIA,2024-01-17 10:53,69.00,65.00,BKN,OVC,M
MIA,2024-01-17 11:53,67.00,64.00,OVC,M,M
MIA,2024-01-17 12:53,65.00,62.00,OVC,M,M
MIA,2024-01-17 13:53,65.00,61.00,OVC,M,M
MIA,2024-01-17 14:53,66.00,61.00,OVC,M,M
MIA,2024-01-17 15:53,68.00,61.00,BKN,OVC,M
MIA,2024-01-17 16:53,70.00,61.00,FEW,BKN,OVC
MIA,2024-01-17 17:53,73.00,62.00,FEW,SCT,BKN
MIA,2024-01-17 18:53,75.00,62.00,SCT,SCT,BKN
MIA,2024-01-17 19:53,73.00,62.00,SCT,OVC,M
MIA,2024-01-17 20:53,72.00,61.00,SCT,OVC,M
MIA,2024-01-17 21:53,71.00,61.00,OVC,M,M
MIA,2024-01-17 22:53,71.00,61.00,OVC,M,M
MIA,2024-01-17 23:53,71.00,61.00,OVC,M,M
MIA,2024-01-18 00:53,71.00,61.00,OVC,M,M
MIA,2024-01-18 01:53,72.00,61.00,OVC,M,M
MIA,2024-01-18 02:53,71.00,61.00,OVC,M,M
MIA,2024-01-18 03:53,71.00,62.00,OVC,M,M
MIA,2024-01-18 04:53,71.00,62.00,OVC,M,M
MIA,2024-01-18 05:53,69.00,60.00,OVC,M,M
MIA,2024-01-18 06:53,71.00,62.00,OVC,M,M
MIA,2024-01-18 07:53,71.00,65.00,OVC,M,M
MIA,2024-01-18 08:53,70.00,66.00,FEW,OVC,M
MIA,2024-01-18 09:53,71.00,66.00,OVC,M,M
MIA,2024-01-18 10:53,72.00,66.00,SCT,BKN,M
MIA,2024-01-18 11:53,73.00,67.00,BKN,OVC,M
MIA,2024-01-18 12:53,74.00,68.00,BKN,OVC,M
MIA,2024-01-18 13:53,74.00,69.00,SCT,OVC,M
MIA,2024-01-18 14:53,76.00,69.00,FEW,BKN,BKN
MIA,2024-01-18 15:53,78.00,70.00,SCT,SCT,BKN
MIA,2024-01-18 16:53,78.00,70.00,BKN,BKN,M
MIA,2024-01-18 17:53,79.00,70.00,FEW,BKN,BKN
MIA,2024-01-18 18:53,80.00,71.00,FEW,SCT,BKN
MIA,2024-01-18 19:53,80.00,71.00,FEW,BKN,M
MIA,2024-01-18 20:53,79.00,71.00,FEW,BKN,BKN
MIA,2024-01-18 21:53,78.00,71.00,FEW,FEW,SCT
MIA,2024-01-18 22:53,77.00,71.00,FEW,FEW,BKN
MIA,2024-01-18 23:53,76.00,71.00,FEW,BKN,M
MIA,2024-01-19 00:53,75.00,71.00,FEW,BKN,M
MIA,2024-01-19 01:53,75.00,71.00,FEW,BKN,M
MIA,2024-01-19 02:53,74.00,71.00,FEW,FEW,M
MIA,2024-01-19 03:53,75.00,72.00,FEW,FEW,M
MIA,2024-01-19 04:53,74.00,72.00,FEW,FEW,M
MIA,2024-01-19 05:53,73.00,71.00,FEW,M,M
MIA,2024-01-19 06:53,73.00,71.00,FEW,M,M
MIA,2024-01-19 07:53,72.00,71.00,CLR,M,M
MIA,2024-01-19 08:53,71.00,70.00,BKN,OVC,M
MIA,2024-01-19 09:53,70.00,68.00,OVC,M,M
MIA,2024-01-19 10:53,70.00,67.00,OVC,M,M
MIA,2024-01-19 11:53,70.00,67.00,SCT,OVC,M
MIA,2024-01-19 12:53,70.00,67.00,SCT,BKN,M
MIA,2024-01-19 13:53,71.00,67.00,OVC,M,M
MIA,2024-01-19 14:53,74.00,69.00,BKN,OVC,M
MIA,2024-01-19 15:53,76.00,70.00,BKN,OVC,M
MIA,2024-01-19 16:53,75.00,69.00,BKN,OVC,M
MIA,2024-01-19 17:53,76.00,69.00,SCT,BKN,OVC
MIA,2024-01-19 18:53,75.00,68.00,BKN,OVC,M
MIA,2024-01-19 19:53,71.00,68.00,SCT,BKN,BKN
MIA,2024-01-19 20:53,71.00,67.00,FEW,BKN,OVC
MIA,2024-01-19 21:53,72.00,67.00,FEW,BKN,OVC
MIA,2024-01-19 22:53,71.00,67.00,SCT,BKN,BKN
MIA,2024-01-19 23:53,71.00,67.00,FEW,SCT,BKN
MIA,2024-01-20 00:53,71.00,66.00,SCT,BKN,OVC
MIA,2024-01-20 01:53,71.00,66.00,SCT,BKN,M
MIA,2024-01-20 02:53,71.00,65.00,OVC,M,M
MIA,2024-01-20 03:53,71.00,65.00,OVC,M,M
MIA,2024-01-20 04:53,71.00,65.00,OVC,M,M
