station,valid,tmpf,dwpf,skyc1,skyc2,skyc3
CYUL,2023-07-15 00:00,77.00,62.60,BKN,BKN,M
CYUL,2023-07-15 01:00,77.00,62.60,SCT,BKN,M
CYUL,2023-07-15 02:00,75.20,62.60,FEW,BKN,M
CYUL,2023-07-15 03:00,71.60,64.40,BKN,M,M
CYUL,2023-07-15 04:00,73.40,62.60,SCT,BKN,M
CYUL,2023-07-15 05:00,73.40,62.60,FEW,M,M
CYUL,2023-07-15 06:00,68.00,62.60,FEW,M,M
CYUL,2023-07-15 07:00,68.00,64.40,FEW,M,M
CYUL,2023-07-15 08:00,66.20,64.40,FEW,M,M
CYUL,2023-07-15 09:00,66.20,62.60,FEW,FEW,SCT
CYUL,2023-07-15 10:00,66.20,62.60,BKN,BKN,M
CYUL,2023-07-15 11:00,68.00,64.40,BKN,BKN,M
CYUL,2023-07-15 12:00,69.80,66.20,SCT,BKN,M
CYUL,2023-07-15 13:00,71.60,66.20,FEW,BKN,M
CYUL,2023-07-15 14:00,73.40,66.20,FEW,OVC,M
CYUL,2023-07-15 15:00,75.20,59.00,FEW,FEW,FEW
CYUL,2023-07-15 16:00,77.00,60.80,FEW,BKN,BKN
CYUL,2023-07-15 17:00,78.80,62.60,FEW,BKN,M
CYUL,2023-07-15 18:00,80.60,62.60,FEW,BKN,M
CYUL,2023-07-15 19:00,80.60,62.60,FEW,BKN,M
CYUL,2023-07-15 20:00,80.60,64.40,BKN,M,M
CYUL,2023-07-15 21:00,82.40,64.40,BKN,M,M
CYUL,2023-07-15 22:00,82.40,66.20,BKN,M,M
CYUL,2023-07-15 23:00,80.60,66.20,BKN,BKN,M
CYUL,2023-07-16 00:00,80.60,66.20,BKN,BKN,M
CYUL,2023-07-16 01:00,78.80,66.20,BKN,M,M
CYUL,2023-07-16 02:00,78.80,64.40,FEW,SCT,M
CYUL,2023-07-16 03:00,77.00,64.40,BKN,M,M
CYUL,2023-07-16 04:00,77.00,66.20,FEW,OVC,M
CYUL,2023-07-16 05:00,75.20,66.20,FEW,SCT,M
CYUL,2023-07-16 06:00,75.20,68.00,FEW,OVC,M
CYUL,2023-07-16 07:00,75.20,69.80,OVC,M,M
CYUL,2023-07-16 08:00,75.20,69.80,OVC,M,M
CYUL,2023-07-16 09:00,73.40,69.80,BKN,OVC,M
CYUL,2023-07-16 10:00,75.20,69.80,FEW,BKN,OVC
CYUL,2023-07-16 11:00,71.60,68.00,SCT,BKN,OVC
CYUL,2023-07-16 12:00,69.80,68.00,FEW,BKN,OVC
CYUL,2023-07-16 13:00,69.80,69.80,SCT,BKN,OVC
CYUL,2023-07-16 14:00,73.40,71.60,SCT,BKN,OVC
CYUL,2023-07-16 15:00,75.20,69.80,FEW,SCT,BKN
CYUL,2023-07-16 16:00,77.00,69.80,FEW,BKN,BKN
CYUL,2023-07-16 17:00,77.00,69.80,SCT,BKN,BKN
CYUL,2023-07-16 18:00,80.60,69.80,FEW,SCT,BKN
CYUL,2023-07-16 19:00,80.60,69.80,BKN,BKN,BKN
CYUL,2023-07-16 20:00,80.60,68.00,SCT,BKN,BKN
CYUL,2023-07-16 21:00,80.60,68.00,BKN,BKN,BKN
CYUL,2023-07-16 22:00,80.60,68.00,BKN,BKN,BKN
CYUL,2023-07-16 23:00,78.80,68.00,BKN,BKN,BKN
CYUL,2023-07-17 00:00,78.80,69.80,FEW,BKN,BKN
CYUL,2023-07-17 01:00,75.20,69.80,FEW,FEW,BKN
CYUL,2023-07-17 02:00,75.20,69.80,FEW,BKN,M
CYUL,2023-07-17 03:00,75.20,71.60,BKN,M,M
CYUL,2023-07-17 04:00,73.40,71.60,CLR,M,M
CYUL,2023-07-17 05:00,73.40,69.80,FEW,M,M
CYUL,2023-07-17 06:00,73.40,69.80,BKN,M,M
CYUL,2023-07-17 07:00,71.60,68.00,SCT,BKN,M
CYUL,2023-07-17 08:00,69.80,66.20,FEW,M,M
CYUL,2023-07-17 09:00,69.80,66.20,OVC,M,M
CYUL,2023-07-17 10:00,69.80,66.20,BKN,OVC,M
CYUL,2023-07-17 11:00,71.60,66.20,OVC,M,M
CYUL,2023-07-17 12:00,71.60,66.20,OVC,M,M
CYUL,2023-07-17 13:00,73.40,66.20,FEW,BKN,M
CYUL,2023-07-17 14:00,75.20,66.20,FEW,OVC,M
CYUL,2023-07-17 15:00,77.00,66.20,FEW,OVC,M
CYUL,2023-07-17 16:00,80.60,66.20,FEW,FEW,OVC
CYUL,2023-07-17 17:00,80.60,64.40,FEW,FEW,OVC
CYUL,2023-07-17 18:00,82.40,64.40,FEW,OVC,M
CYUL,2023-07-17 19:00,82.40,64.40,FEW,FEW,BKN
CYUL,2023-07-17 20:00,82.40,62.60,FEW,FEW,BKN
CYUL,2023-07-17 21:00,82.40,62.60,FEW,SCT,M
CYUL,2023-07-17 22:00,82.40,60.80,FEW,SCT,M
CYUL,2023-07-17 23:00,80.60,59.00,FEW,SCT,M
CYUL,2023-07-18 00:00,78.80,60.80,FEW,FEW,M
CYUL,2023-07-18 01:00,77.00,59.00,FEW,SCT,M
CYUL,2023-07-18 02:00,73.40,60.80,BKN,M,M
CYUL,2023-07-18 03:00,73.40,60.80,BKN,M,M
CYUL,2023-07-18 04:00,71.60,60.80,BKN,M,M
CYUL,2023-07-18 05:00,73.40,60.80,OVC,M,M
CYUL,2023-07-18 06:00,71.60,60.80,OVC,M,M
CYUL,2023-07-18 07:00,71.60,60.80,SCT,OVC,M
CYUL,2023-07-18 08:00,69.80,62.60,OVC,M,M
CYUL,2023-07-18 09:00,66.20,64.40,BKN,OVC,M
CYUL,2023-07-18 10:00,66.20,64.40,FEW,OVC,M
CYUL,2023-07-18 11:00,68.00,66.20,FEW,BKN,OVC
CYUL,2023-07-18 12:00,68.00,66.20,FEW,FEW,OVC
CYUL,2023-07-18 13:00,69.80,66.20,FEW,OVC,M
CYUL,2023-07-18 14:00,71.60,66.20,FEW,SCT,BKN
CYUL,2023-07-18 15:00,73.40,68.00,FEW,SCT,BKN
CYUL,2023-07-18 16:00,75.20,68.00,SCT,BKN,BKN
CYUL,2023-07-18 17:00,77.00,68.00,FEW,SCT,SCT
CYUL,2023-07-18 18:00,78.80,68.00,FEW,SCT,BKN
CYUL,2023-07-18 19:00,77.00,66.20,FEW,SCT,SCT
CYUL,2023-07-18 20:00,78.80,68.00,FEW,FEW,SCT
CYUL,2023-07-18 21:00,80.60,66.20,FEW,FEW,FEW
CYUL,2023-07-18 22:00,78.80,60.80,FEW,FEW,BKN
CYUL,2023-07-18 23:00,77.00,64.40,FEW,FEW,FEW
CYUL,2023-07-19 00:00,77.00,64.40,FEW,OVC,M
CYUL,2023-07-19 01:00,75.20,68.00,FEW,FEW,OVC
CYUL,2023-07-19 02:00,73.40,69.80,FEW,OVC,M
CYUL,2023-07-19 03:00,73.40,68.00,SCT,OVC,M
CYUL,2023-07-19 04:00,73.40,69.80,FEW,SCT,M
CYUL,2023-07-19 05:00,71.60,66.20,FEW,M,M
CYUL,2023-07-19 06:00,68.00,64.40,FEW,M,M
CYUL,2023-07-19 07:00,66.20,62.60,FEW,M,M
CYUL,2023-07-19 08:00,64.40,62.60,CLR,M,M
CYUL,2023-07-19 09:00,64.40,62.60,FEW,FEW,M
CYUL,2023-07-19 10:00,64.40,60.80,FEW,M,M
CYUL,2023-07-19 11:00,66.20,62.60,SCT,SCT,M
CYUL,2023-07-19 12:00,68.00,62.60,FEW,FEW,SCT
CYUL,2023-07-19 13:00,71.60,57.20,FEW,FEW,M
CYUL,2023-07-19 14:00,71.60,57.20,FEW,FEW,FEW
CYUL,2023-07-19 15:00,73.40,59.00,FEW,FEW,M
CYUL,2023-07-19 16:00,75.20,59.00,FEW,FEW,M
CYUL,2023-07-19 17:00,75.20,59.00,FEW,FEW,M
CYUL,2023-07-19 18:00,75.20,59.00,FEW,FEW,M
CYUL,2023-07-19 19:00,78.80,59.00,FEW,FEW,M
CYUL,2023-07-19 20:00,78.80,59.00,FEW,FEW,M
CYUL,2023-07-19 21:00,78.80,59.00,FEW,FEW,M
CYUL,2023-07-19 22:00,78.80,59.00,FEW,FEW,M
CYUL,2023-07-19 23:00,77.00,59.00,FEW,FEW,M
CYUL,2023-07-20 00:00,75.20,59.00,FEW,FEW,M
CYUL,2023-07-20 01:00,73.40,59.00,FEW,FEW,M
CYUL,2023-07-20 02:00,71.60,59.00,SCT,M,M
CYUL,2023-07-20 03:00,71.60,59.00,FEW,M,M
CYUL,2023-07-20 04:00,69.80,60.80,FEW,M,M
CYUL,2023-07-20 05:00,68.00,59.00,FEW,M,M
CYUL,2023-07-20 06:00,64.40,60.80,FEW,M,M
CYUL,2023-07-20 07:00,66.20,59.00,SCT,M,M
CYUL,2023-07-20 08:00,64.40,60.80,CLR,M,M
CYUL,2023-07-20 09:00,64.40,60.80,FEW,FEW,M
CYUL,2023-07-20 10:00,62.60,59.00,FEW,FEW,M
CYUL,2023-07-20 11:00,66.20,62.60,FEW,FEW,M
CYUL,2023-07-20 12:00,69.80,62.60,FEW,BKN,M
CYUL,2023-07-20 13:00,71.60,64.40,FEW,FEW,SCT
CYUL,2023-07-20 14:00,75.20,64.40,FEW,FEW,BKN
CYUL,2023-07-20 15:00,75.20,64.40,FEW,FEW,BKN
CYUL,2023-07-20 16:00,77.00,64.40,FEW,FEW,BKN
CYUL,2023-07-20 17:00,78.80,62.60,FEW,FEW,BKN
CYUL,2023-07-20 18:00,78.80,59.00,FEW,FEW,SCT
CYUL,2023-07-20 19:00,80.60,62.60,FEW,FEW,SCT
CYUL,2023-07-20 20:00,80.60,60.80,FEW,FEW,BKN
CYUL,2023-07-20 21:00,80.60,60.80,FEW,FEW,BKN
CYUL,2023-07-20 22:00,80.60,59.00,FEW,FEW,BKN
CYUL,2023-07-20 23:00,78.80,55.40,FEW,FEW,FEW
CYUL,2023-07-21 00:00,78.80,55.40,FEW,FEW,SCT
