station,valid,tmpf,dwpf,skyc1,skyc2,skyc3
CYUL,2024-01-15 00:00,23.00,19.40,FEW,BKN,OVC
CYUL,2024-01-15 01:00,23.00,15.80,SCT,OVC,M
CYUL,2024-01-15 02:00,21.20,15.80,SCT,OVC,M
CYUL,2024-01-15 03:00,21.20,14.00,BKN,BKN,M
CYUL,2024-01-15 04:00,21.20,10.40,BKN,OVC,M
CYUL,2024-01-15 05:00,19.40,10.40,FEW,BKN,BKN
CYUL,2024-01-15 06:00,19.40,10.40,FEW,BKN,BKN
CYUL,2024-01-15 07:00,19.40,8.60,FEW,SCT,BKN
CYUL,2024-01-15 08:00,19.40,8.60,BKN,OVC,M
CYUL,2024-01-15 09:00,19.40,10.40,FEW,BKN,OVC
CYUL,2024-01-15 10:44,19.40,10.40,OVC,M,M
CYUL,2024-01-15 11:00,19.40,10.40,OVC,M,M
CYUL,2024-01-15 12:00,19.40,10.40,OVC,M,M
CYUL,2024-01-15 13:00,19.40,10.40,OVC,M,M
CYUL,2024-01-15 14:00,21.20,14.00,FEW,FEW,BKN
CYUL,2024-01-15 15:00,21.20,14.00,BKN,BKN,M
CYUL,2024-01-15 16:00,21.20,14.00,BKN,BKN,M
CYUL,2024-01-15 17:00,21.20,12.20,SCT,BKN,M
CYUL,2024-01-15 18:00,21.20,12.20,BKN,BKN,M
CYUL,2024-01-15 19:00,21.20,12.20,BKN,M,M
CYUL,2024-01-15 20:00,23.00,12.20,BKN,BKN,M
CYUL,2024-01-15 21:00,23.00,12.20,SCT,BKN,M
CYUL,2024-01-15 22:00,23.00,12.20,FEW,BKN,M
CYUL,2024-01-15 23:00,21.20,12.20,FEW,SCT,M
CYUL,2024-01-16 00:00,23.00,12.20,BKN,OVC,M
CYUL,2024-01-16 01:00,21.20,12.20,SCT,OVC,M
CYUL,2024-01-16 02:00,21.20,12.20,FEW,OVC,M
CYUL,2024-01-16 03:00,21.20,10.40,BKN,OVC,M
CYUL,2024-01-16 04:00,19.40,10.40,FEW,BKN,M
CYUL,2024-01-16 05:00,19.40,8.60,FEW,OVC,M
CYUL,2024-01-16 06:00,19.40,8.60,OVC,M,M
CYUL,2024-01-16 07:00,17.60,10.40,OVC,M,M
CYUL,2024-01-16 08:00,17.60,12.20,BKN,OVC,M
CYUL,2024-01-16 09:00,17.60,12.20,FEW,OVC,M
CYUL,2024-01-16 10:00,17.60,12.20,OVC,M,M
CYUL,2024-01-16 11:00,17.60,12.20,SCT,OVC,M
CYUL,2024-01-16 12:00,17.60,12.20,OVC,M,M
CYUL,2024-01-16 13:00,19.40,14.00,OVC,M,M
CYUL,2024-01-16 14:00,21.20,10.40,OVC,M,M
CYUL,2024-01-16 15:00,21.20,10.40,BKN,OVC,M
CYUL,2024-01-16 16:00,19.40,14.00,FEW,BKN,OVC
CYUL,2024-01-16 17:00,19.40,15.80,FEW,BKN,OVC
