station,valid,tmpf,dwpf,skyc1,skyc2,skyc3
PHX,2023-07-15 00:51,114.00,46.00,FEW,FEW,SCT
PHX,2023-07-15 01:51,112.00,47.00,FEW,FEW,FEW
PHX,2023-07-15 02:51,110.00,48.00,FEW,FEW,SCT
PHX,2023-07-15 03:51,108.00,49.00,FEW,M,M
PHX,2023-07-15 04:51,107.00,50.00,CLR,M,M
PHX,2023-07-15 05:51,106.00,51.00,FEW,M,M
PHX,2023-07-15 06:51,103.00,54.00,FEW,M,M
PHX,2023-07-15 07:51,102.00,57.00,FEW,M,M
PHX,2023-07-15 08:51,100.00,57.00,FEW,M,M
PHX,2023-07-15 09:51,101.00,57.00,CLR,M,M
PHX,2023-07-15 10:51,99.00,57.00,CLR,M,M
PHX,2023-07-15 11:51,94.00,57.00,FEW,M,M
PHX,2023-07-15 12:51,93.00,58.00,FEW,FEW,M
PHX,2023-07-15 13:51,95.00,60.00,FEW,FEW,M
PHX,2023-07-15 14:51,97.00,61.00,FEW,FEW,M
PHX,2023-07-15 15:51,102.00,58.00,FEW,FEW,M
PHX,2023-07-15 16:51,105.00,57.00,FEW,FEW,M
PHX,2023-07-15 17:51,108.00,56.00,FEW,SCT,M
PHX,2023-07-15 18:51,112.00,55.00,FEW,FEW,SCT
PHX,2023-07-15 19:51,112.00,54.00,FEW,FEW,M
PHX,2023-07-15 20:51,114.00,51.00,FEW,FEW,M
PHX,2023-07-15 21:51,116.00,50.00,FEW,FEW,FEW
PHX,2023-07-15 22:51,117.00,48.00,FEW,FEW,FEW
PHX,2023-07-15 23:51,115.00,46.00,FEW,FEW,FEW
PHX,2023-07-16 00:51,117.00,42.00,FEW,FEW,FEW
PHX,2023-07-16 01:51,115.00,43.00,FEW,FEW,FEW
PHX,2023-07-16 02:51,113.00,44.00,FEW,FEW,SCT
PHX,2023-07-16 03:51,110.00,50.00,FEW,FEW,SCT
PHX,2023-07-16 04:51,108.00,53.00,FEW,FEW,SCT
PHX,2023-07-16 05:51,105.00,54.00,FEW,FEW,SCT
PHX,2023-07-16 06:51,105.00,56.00,FEW,FEW,M
PHX,2023-07-16 07:51,103.00,58.00,SCT,M,M
PHX,2023-07-16 08:51,100.00,60.00,SCT,M,M
PHX,2023-07-16 09:51,99.00,61.00,BKN,M,M
PHX,2023-07-16 10:51,97.00,61.00,SCT,M,M
PHX,2023-07-16 11:51,96.00,61.00,FEW,SCT,BKN
PHX,2023-07-16 12:51,94.00,59.00,FEW,SCT,BKN
PHX,2023-07-16 13:51,96.00,61.00,FEW,SCT,M
PHX,2023-07-16 14:51,98.00,61.00,FEW,SCT,M
PHX,2023-07-16 15:51,100.00,61.00,SCT,BKN,M
PHX,2023-07-16 16:51,102.00,60.00,SCT,BKN,M
PHX,2023-07-16 17:51,104.00,60.00,SCT,BKN,M
PHX,2023-07-16 18:51,107.00,60.00,FEW,SCT,BKN
PHX,2023-07-16 19:51,110.00,60.00,FEW,FEW,BKN
PHX,2023-07-16 20:51,111.00,60.00,FEW,FEW,BKN
PHX,2023-07-16 21:51,110.00,59.00,FEW,FEW,BKN
PHX,2023-07-16 22:51,111.00,58.00,FEW,FEW,SCT
PHX,2023-07-16 23:51,113.00,58.00,FEW,FEW,SCT
PHX,2023-07-17 00:51,113.00,56.00,FEW,FEW,SCT
PHX,2023-07-17 01:51,112.00,55.00,FEW,FEW,BKN
PHX,2023-07-17 02:51,110.00,54.00,FEW,SCT,SCT
PHX,2023-07-17 03:51,107.00,60.00,FEW,SCT,SCT
PHX,2023-07-17 04:51,105.00,60.00,FEW,SCT,BKN
PHX,2023-07-17 05:51,104.00,58.00,BKN,M,M
PHX,2023-07-17 06:51,104.00,60.00,BKN,M,M
PHX,2023-07-17 07:51,101.00,60.00,SCT,M,M
PHX,2023-07-17 08:51,99.00,60.00,CLR,M,M
PHX,2023-07-17 09:51,97.00,61.00,CLR,M,M
PHX,2023-07-17 10:51,96.00,61.00,CLR,M,M
PHX,2023-07-17 11:51,96.00,61.00,FEW,FEW,BKN
PHX,2023-07-17 12:51,95.00,60.00,FEW,FEW,BKN
PHX,2023-07-17 13:51,97.00,59.00,FEW,FEW,SCT
PHX,2023-07-17 14:51,98.00,59.00,SCT,SCT,M
PHX,2023-07-17 15:51,100.00,60.00,SCT,SCT,M
PHX,2023-07-17 16:51,102.00,58.00,SCT,SCT,M
PHX,2023-07-17 17:51,105.00,58.00,FEW,SCT,M
PHX,2023-07-17 18:51,109.00,58.00,FEW,SCT,M
PHX,2023-07-17 19:51,110.00,57.00,FEW,FEW,SCT
PHX,2023-07-17 20:51,114.00,57.00,FEW,FEW,SCT
PHX,2023-07-17 21:51,115.00,56.00,FEW,FEW,SCT
PHX,2023-07-17 22:51,114.00,56.00,FEW,FEW,M
PHX,2023-07-17 23:51,115.00,52.00,FEW,FEW,M
PHX,2023-07-18 00:51,114.00,53.00,FEW,FEW,SCT
PHX,2023-07-18 01:51,113.00,53.00,FEW,SCT,SCT
PHX,2023-07-18 02:51,106.00,58.00,BKN,BKN,BKN
PHX,2023-07-18 03:51,99.00,60.00,BKN,BKN,BKN
PHX,2023-07-18 04:51,102.00,56.00,SCT,BKN,BKN
PHX,2023-07-18 05:51,100.00,58.00,SCT,BKN,BKN
PHX,2023-07-18 06:51,99.00,59.00,SCT,BKN,M
PHX,2023-07-18 07:51,99.00,59.00,SCT,BKN,M
PHX,2023-07-18 08:51,98.00,58.00,FEW,SCT,BKN
PHX,2023-07-18 09:51,97.00,57.00,FEW,SCT,BKN
PHX,2023-07-18 10:51,97.00,57.00,FEW,BKN,M
PHX,2023-07-18 11:51,96.00,59.00,SCT,SCT,BKN
PHX,2023-07-18 12:51,94.00,61.00,SCT,SCT,BKN
PHX,2023-07-18 13:51,94.00,62.00,FEW,SCT,BKN
PHX,2023-07-18 14:51,97.00,60.00,FEW,FEW,BKN
PHX,2023-07-18 15:51,102.00,59.00,FEW,SCT,BKN
PHX,2023-07-18 16:51,105.00,57.00,FEW,SCT,BKN
PHX,2023-07-18 17:51,107.00,56.00,FEW,FEW,FEW
PHX,2023-07-18 18:51,109.00,56.00,FEW,FEW,FEW
PHX,2023-07-18 19:51,112.00,57.00,FEW,FEW,FEW
PHX,2023-07-18 20:51,114.00,56.00,FEW,FEW,FEW
PHX,2023-07-18 21:51,116.00,53.00,FEW,FEW,M
PHX,2023-07-18 22:51,116.00,53.00,FEW,FEW,FEW
PHX,2023-07-18 23:51,118.00,51.00,FEW,FEW,FEW
PHX,2023-07-19 00:51,116.00,49.00,FEW,SCT,SCT
PHX,2023-07-19 01:51,114.00,50.00,FEW,SCT,BKN
PHX,2023-07-19 02:51,113.00,51.00,FEW,SCT,SCT
PHX,2023-07-19 03:51,112.00,52.00,FEW,SCT,SCT
PHX,2023-07-19 04:51,109.00,51.00,FEW,SCT,SCT
PHX,2023-07-19 05:51,105.00,52.00,FEW,FEW,SCT
PHX,2023-07-19 06:51,103.00,53.00,CLR,M,M
PHX,2023-07-19 07:51,104.00,52.00,CLR,M,M
PHX,2023-07-19 08:51,103.00,53.00,CLR,M,M
PHX,2023-07-19 09:51,102.00,53.00,CLR,M,M
PHX,2023-07-19 10:51,100.00,55.00,CLR,M,M
PHX,2023-07-19 11:51,98.00,56.00,FEW,M,M
PHX,2023-07-19 12:51,98.00,56.00,FEW,FEW,SCT
PHX,2023-07-19 13:51,97.00,59.00,FEW,M,M
PHX,2023-07-19 14:51,100.00,58.00,CLR,M,M
PHX,2023-07-19 15:51,102.00,56.00,CLR,M,M
PHX,2023-07-19 16:51,107.00,56.00,CLR,M,M
PHX,2023-07-19 17:51,109.00,54.00,CLR,M,M
PHX,2023-07-19 18:51,113.00,53.00,FEW,M,M
PHX,2023-07-19 19:51,116.00,51.00,FEW,FEW,M
PHX,2023-07-19 20:51,116.00,49.00,FEW,FEW,M
PHX,2023-07-19 21:51,117.00,48.00,FEW,FEW,M
PHX,2023-07-19 22:51,117.00,47.00,FEW,FEW,M
PHX,2023-07-19 23:51,118.00,49.00,FEW,FEW,M
PHX,2023-07-20 00:51,117.00,47.00,FEW,SCT,M
PHX,2023-07-20 01:51,115.00,46.00,FEW,SCT,M
PHX,2023-07-20 02:51,113.00,43.00,FEW,SCT,BKN
