station,valid,tmpf,dwpf,skyc1,skyc2,skyc3
PHX,2024-01-15 00:51,64.00,24.00,FEW,M,M
PHX,2024-01-15 01:51,60.00,26.00,FEW,M,M
PHX,2024-01-15 02:51,57.00,26.00,FEW,M,M
PHX,2024-01-15 03:51,55.00,27.00,FEW,M,M
PHX,2024-01-15 04:51,53.00,28.00,FEW,M,M
PHX,2024-01-15 05:51,51.00,29.00,CLR,M,M
PHX,2024-01-15 06:51,49.00,29.00,CLR,M,M
PHX,2024-01-15 07:51,47.00,29.00,CLR,M,M
PHX,2024-01-15 08:51,47.00,28.00,CLR,M,M
PHX,2024-01-15 09:51,45.00,28.00,CLR,M,M
PHX,2024-01-15 10:51,45.00,28.00,CLR,M,M
PHX,2024-01-15 11:51,43.00,29.00,CLR,M,M
PHX,2024-01-15 12:51,44.00,29.00,CLR,M,M
PHX,2024-01-15 13:51,44.00,28.00,CLR,M,M
PHX,2024-01-15 14:51,42.00,29.00,FEW,FEW,M
PHX,2024-01-15 15:51,48.00,29.00,FEW,FEW,M
PHX,2024-01-15 16:51,54.00,29.00,FEW,FEW,M
PHX,2024-01-15 17:51,57.00,30.00,FEW,FEW,FEW
PHX,2024-01-15 18:51,61.00,28.00,FEW,FEW,M
PHX,2024-01-15 19:51,62.00,27.00,FEW,BKN,BKN
PHX,2024-01-15 20:51,63.00,26.00,BKN,BKN,M
PHX,2024-01-15 21:51,68.00,27.00,BKN,BKN,M
PHX,2024-01-15 22:51,67.00,27.00,SCT,BKN,M
PHX,2024-01-15 23:51,67.00,27.00,FEW,SCT,BKN
PHX,2024-01-16 00:51,65.00,28.00,FEW,SCT,BKN
PHX,2024-01-16 01:51,63.00,27.00,SCT,BKN,M
PHX,2024-01-16 02:51,60.00,29.00,FEW,BKN,M
PHX,2024-01-16 03:51,56.00,30.00,FEW,SCT,M
PHX,2024-01-16 04:51,55.00,31.00,FEW,M,M
PHX,2024-01-16 05:51,53.00,31.00,CLR,M,M
PHX,2024-01-16 06:51,51.00,31.00,CLR,M,M
PHX,2024-01-16 07:51,50.00,31.00,CLR,M,M
PHX,2024-01-16 08:51,48.00,31.00,CLR,M,M
PHX,2024-01-16 09:51,48.00,31.00,CLR,M,M
PHX,2024-01-16 10:51,47.00,31.00,CLR,M,M
PHX,2024-01-16 11:51,46.00,31.00,CLR,M,M
PHX,2024-01-16 12:51,45.00,31.00,CLR,M,M
PHX,2024-01-16 13:51,45.00,31.00,CLR,M,M
